SAMPLE_ID	Entrez_Gene_Id	cbp_driver	cbp_driver_annotation
TCGA-A1-A0SD-01	116983	Putative_Passenger	
TCGA-A1-A0SH-01	116983	Putative_Passenger	
TCGA-A1-A0SM-01	116983	Putative_Passenger	
TCGA-A1-A0SN-01	116983	Putative_Passenger	
TCGA-A1-A0SO-01	116983	Putative_Passenger	
TCGA-A2-A04R-01	116983	Putative_Passenger	
TCGA-A2-A04U-01	116983	Putative_Passenger	
TCGA-A2-A04Y-01	116983	Putative_Passenger	
TCGA-A2-A0CS-01	116983	Putative_Passenger	
TCGA-A2-A0CT-01	116983	Putative_Passenger	
TCGA-A2-A0CW-01	116983	Putative_Passenger	
TCGA-A2-A0D0-01	116983	Putative_Passenger	
TCGA-A2-A0D4-01	116983	Putative_Passenger	
TCGA-A2-A0EN-01	116983	Putative_Passenger	
TCGA-A2-A0EO-01	116983	Putative_Passenger	
TCGA-A2-A0ET-01	116983	Putative_Passenger	
TCGA-A2-A0EY-01	116983	Putative_Passenger	
TCGA-A2-A0T2-01	116983	Putative_Passenger	
TCGA-A2-A0T4-01	116983	Putative_Passenger	
TCGA-A2-A0T7-01	116983	Putative_Passenger	
TCGA-A2-A0YF-01	116983	Putative_Passenger	
TCGA-A2-A0YI-01	116983	Putative_Passenger	
TCGA-A2-A0YJ-01	116983	Putative_Passenger	
TCGA-A2-A1FX-01	116983	Putative_Passenger	
TCGA-A2-A1G0-01	116983	Putative_Passenger	
TCGA-A2-A25C-01	116983	Putative_Passenger	
TCGA-A7-A13F-01	116983	Putative_Passenger	
TCGA-A7-A26F-01	116983	Putative_Passenger	
TCGA-A8-A06T-01	116983	Putative_Passenger	
TCGA-A8-A06U-01	116983	Putative_Passenger	
TCGA-A8-A06Y-01	116983	Putative_Passenger	
TCGA-A8-A06Z-01	116983	Putative_Passenger	
TCGA-A8-A075-01	116983	Putative_Passenger	
TCGA-A8-A076-01	116983	Putative_Passenger	
TCGA-A8-A079-01	116983	Putative_Passenger	
TCGA-A8-A07B-01	116983	Putative_Passenger	
TCGA-A8-A07F-01	116983	Putative_Passenger	
TCGA-A8-A07L-01	116983	Putative_Passenger	
TCGA-A8-A081-01	116983	Putative_Passenger	
TCGA-A8-A084-01	116983	Putative_Passenger	
TCGA-A8-A08I-01	116983	Putative_Passenger	
TCGA-A8-A08J-01	116983	Putative_Passenger	
TCGA-A8-A08O-01	116983	Putative_Passenger	
TCGA-A8-A08S-01	116983	Putative_Passenger	
TCGA-A8-A092-01	116983	Putative_Passenger	
TCGA-A8-A099-01	116983	Putative_Passenger	
TCGA-A8-A09A-01	116983	Putative_Passenger	
TCGA-A8-A09C-01	116983	Putative_Passenger	
TCGA-A8-A09E-01	116983	Putative_Passenger	
TCGA-A8-A09I-01	116983	Putative_Passenger	
TCGA-A8-A09M-01	116983	Putative_Passenger	
TCGA-A8-A09R-01	116983	Putative_Passenger	
TCGA-A8-A09W-01	116983	Putative_Passenger	
TCGA-A8-A0A2-01	116983	Putative_Passenger	
TCGA-A8-A0AB-01	116983	Putative_Passenger	
TCGA-AN-A03X-01	116983	Putative_Passenger	
TCGA-AN-A03Y-01	116983	Putative_Passenger	
TCGA-AN-A041-01	116983	Putative_Passenger	
TCGA-AN-A049-01	116983	Putative_Passenger	
TCGA-AN-A04A-01	116983	Putative_Passenger	
TCGA-AN-A04D-01	116983	Putative_Passenger	
TCGA-AN-A0AJ-01	116983	Putative_Passenger	
TCGA-AN-A0AK-01	116983	Putative_Passenger	
TCGA-AN-A0AL-01	116983	Putative_Passenger	
TCGA-AN-A0FD-01	116983	Putative_Passenger	
TCGA-AN-A0FJ-01	116983	Putative_Passenger	
TCGA-AN-A0FK-01	116983	Putative_Passenger	
TCGA-AN-A0FL-01	116983	Putative_Passenger	
TCGA-AN-A0FT-01	116983	Putative_Passenger	
TCGA-AN-A0FV-01	116983	Putative_Passenger	
TCGA-AN-A0FY-01	116983	Putative_Passenger	
TCGA-AN-A0XT-01	116983	Putative_Passenger	
TCGA-AN-A0XU-01	116983	Putative_Passenger	
TCGA-AO-A03L-01	116983	Putative_Passenger	
TCGA-AO-A03N-01	116983	Putative_Passenger	
TCGA-AO-A0J3-01	116983	Putative_Passenger	
TCGA-AO-A0J4-01	116983	Putative_Passenger	
TCGA-AO-A0J6-01	116983	Putative_Passenger	
TCGA-AO-A0J7-01	116983	Putative_Passenger	
TCGA-AO-A0J9-01	116983	Putative_Passenger	
TCGA-AO-A0JA-01	116983	Putative_Passenger	
TCGA-AO-A0JE-01	116983	Putative_Passenger	
TCGA-AO-A0JG-01	116983	Putative_Passenger	
TCGA-AO-A0JI-01	116983	Putative_Passenger	
TCGA-AO-A0JM-01	116983	Putative_Passenger	
TCGA-AO-A129-01	116983	Putative_Passenger	
TCGA-AO-A12F-01	116983	Putative_Passenger	
TCGA-AO-A1KP-01	116983	Putative_Passenger	
TCGA-AO-A1KQ-01	116983	Putative_Passenger	
TCGA-AO-A1KS-01	116983	Putative_Passenger	
TCGA-AO-A1KT-01	116983	Putative_Passenger	
TCGA-AQ-A0Y5-01	116983	Putative_Passenger	
TCGA-AR-A0TW-01	116983	Putative_Passenger	
TCGA-AR-A0TY-01	116983	Putative_Passenger	
TCGA-AR-A0TZ-01	116983	Putative_Passenger	
TCGA-AR-A0U1-01	116983	Putative_Passenger	
TCGA-AR-A0U3-01	116983	Putative_Passenger	
TCGA-AR-A1AH-01	116983	Putative_Passenger	
TCGA-AR-A1AW-01	116983	Putative_Passenger	
TCGA-AR-A1AY-01	116983	Putative_Passenger	
TCGA-AR-A24H-01	116983	Putative_Passenger	
TCGA-AR-A24L-01	116983	Putative_Passenger	
TCGA-AR-A24Q-01	116983	Putative_Passenger	
TCGA-AR-A24R-01	116983	Putative_Passenger	
TCGA-AR-A24S-01	116983	Putative_Passenger	
TCGA-AR-A24T-01	116983	Putative_Passenger	
TCGA-AR-A250-01	116983	Putative_Passenger	
