Ensembl Gene ID	Chromosome	Gene Start 	Gene End 	Strand	Gene Name
ENSG00000223972	1	11869	14409	1	DDX11L1
ENSG00000227232	1	14404	29570	-1	WASH7P
ENSG00000278267	1	17369	17436	-1	MIR6859-1
ENSG00000243485	1	29554	31109	1	MIR1302-11
ENSG00000274890	1	30366	30503	1	MIR1302-9
ENSG00000237613	1	34554	36081	-1	FAM138A
ENSG00000268020	1	52473	53312	1	OR4G4P
ENSG00000240361	1	62948	63887	1	OR4G11P
ENSG00000186092	1	69091	70008	1	OR4F5
ENSG00000238009	1	89295	133723	-1	RP11-34P13.7
ENSG00000239945	1	89551	91105	-1	RP11-34P13.8
ENSG00000233750	1	131025	134836	1	CICP27
ENSG00000268903	1	135141	135895	-1	RP11-34P13.15
ENSG00000269981	1	137682	137965	-1	RP11-34P13.16
ENSG00000239906	1	139790	140339	-1	RP11-34P13.14
ENSG00000241860	1	141474	173862	-1	RP11-34P13.13
ENSG00000222623	1	157784	157887	-1	RNU6-1100P
ENSG00000241599	1	160446	161525	1	RP11-34P13.9
ENSG00000279928	1	182393	184158	1	FO538757.3
ENSG00000279457	1	184923	200322	-1	FO538757.2
ENSG00000273874	1	187891	187958	-1	MIR6859-2
ENSG00000275135	1	200880	201017	1	FO538757.1
ENSG00000228463	1	257864	297502	-1	AP006222.2
ENSG00000241670	1	258568	259024	-1	AP006222.1
ENSG00000236679	1	347982	348366	-1	RP4-669L17.1
ENSG00000236743	1	357383	359681	-1	RP5-857K21.15
ENSG00000236601	1	358857	365704	1	RP4-669L17.2
ENSG00000237094	1	365389	501617	-1	RP4-669L17.10
ENSG00000269732	1	439870	440232	1	WBP1LP7
ENSG00000278566	1	450740	451678	-1	OR4F29
ENSG00000224813	1	485032	485211	-1	RP4-669L17.4
ENSG00000233653	1	487101	489906	1	CICP7
ENSG00000250575	1	491225	493241	-1	RP4-669L17.8
ENSG00000278757	1	516376	516479	-1	U6
ENSG00000231709	1	585989	588453	-1	RP5-857K21.1
ENSG00000235146	1	587629	594768	1	RP5-857K21.2
ENSG00000239664	1	594453	597498	-1	RP5-857K21.3
ENSG00000230021	1	601436	724707	-1	RP5-857K21.4
ENSG00000223659	1	627377	629010	-1	RP5-857K21.5
ENSG00000225972	1	629062	629433	1	MTND1P23
ENSG00000225630	1	629640	630683	1	MTND2P28
ENSG00000276171	1	630896	630958	1	AC114498.1
ENSG00000237973	1	631074	632616	1	MIR6723
ENSG00000278791	1	632325	632413	-1	MIR6723
ENSG00000229344	1	632757	633438	1	RP5-857K21.7
ENSG00000240409	1	633535	633741	1	MTATP8P1
ENSG00000248527	1	633696	634376	1	MTATP6P1
ENSG00000198744	1	634376	634922	1	RP5-857K21.11
ENSG00000268663	1	674842	675265	1	WBP1LP6
ENSG00000273547	1	685716	686654	-1	OR4F16
ENSG00000229376	1	722092	724903	1	CICP3
ENSG00000224956	1	726231	728147	-1	RP11-206L10.1
ENSG00000235373	1	741813	750016	-1	RP11-206L10.3
ENSG00000223181	1	758233	758336	-1	RNU6-1199P
ENSG00000240618	1	759032	764925	-1	RP11-206L10.5
ENSG00000229905	1	760911	761989	1	RP11-206L10.4
ENSG00000228327	1	764857	778626	-1	RP11-206L10.2
ENSG00000237491	1	778770	810060	1	RP11-206L10.9
ENSG00000230092	1	800879	817712	-1	RP11-206L10.8
ENSG00000177757	1	817371	819837	1	FAM87B
ENSG00000228794	1	825138	859446	1	LINC01128
ENSG00000225880	1	826206	827522	-1	LINC00115
ENSG00000230368	1	868071	876903	-1	FAM41C
ENSG00000234711	1	873292	874349	1	TUBB8P11
ENSG00000272438	1	904834	915976	1	RP11-54O7.16
ENSG00000230699	1	911435	914948	1	RP11-54O7.1
ENSG00000241180	1	914171	914971	1	RP11-54O7.2
ENSG00000223764	1	916865	921016	-1	RP11-54O7.3
ENSG00000187634	1	924880	944581	1	SAMD11
ENSG00000188976	1	944204	959309	-1	NOC2L
ENSG00000187961	1	960587	965715	1	KLHL17
ENSG00000277294	1	965110	965166	1	AL645608.1
ENSG00000187583	1	966497	975865	1	PLEKHN1
ENSG00000187642	1	975204	982093	-1	PERM1
ENSG00000272512	1	995966	998051	-1	RP11-54O7.17
ENSG00000188290	1	998962	1000172	-1	HES4
ENSG00000187608	1	1001138	1014541	1	ISG15
