rank	gene	description	n	cos	n_cos	N_cos	p	q
1	TP53	tumor protein p53	279	969	278	356592	0	0
2	RB1	retinoblastoma 1 (including osteosarcoma)	9	271	8	99728	1.363021e-11	3.100872e-08
3	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	15	289	6	106352	4.836785e-08	7.335790e-05
4	MYO3A	myosin IIIA	7	15	3	5520	1.477512e-07	1.680670e-04
5	WNT11	wingless-type MMTV integration site family, member 11	2	1	2	368	2.054897e-07	1.869956e-04
6	KLK10	kallikrein-related peptidase 10	2	2	2	736	8.227265e-07	6.239009e-04
7	CDC27	cell division cycle 27 homolog (S. cerevisiae)	4	3	2	1104	1.851182e-06	1.203268e-03
8	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	4	46	3	16928	4.199655e-06	2.388554e-03
9	NIPBL	Nipped-B homolog (Drosophila)	5	8	2	2944	1.314327e-05	6.644651e-03
10	MLL4		4	9	2	3312	1.662796e-05	7.565721e-03
11	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	7	235	4	86480	1.914759e-05	7.920141e-03
12	FBXW7	F-box and WD repeat domain containing 7	4	91	3	33488	3.182086e-05	1.206541e-02
13	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	2	29	2	10672	1.712088e-04	5.992308e-02
14	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	2	53	2	19504	5.660416e-04	7.123311e-02
15	ARMCX3	armadillo repeat containing, X-linked 3	2	1	1	368	6.418807e-04	7.123311e-02
16	ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	2	1	1	368	6.418807e-04	7.123311e-02
17	BTBD3	BTB (POZ) domain containing 3	3	1	1	368	6.418807e-04	7.123311e-02
18	C16orf79	chromosome 16 open reading frame 79	1	1	1	368	6.418807e-04	7.123311e-02
19	CALCR	calcitonin receptor	3	1	1	368	6.418807e-04	7.123311e-02
20	FBXO6	F-box protein 6	1	1	1	368	6.418807e-04	7.123311e-02
21	FCGBP	Fc fragment of IgG binding protein	7	1	1	368	6.418807e-04	7.123311e-02
22	FOXG1	forkhead box G1	1	1	1	368	6.418807e-04	7.123311e-02
23	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	2	1	1	368	6.418807e-04	7.123311e-02
24	GLRA2	glycine receptor, alpha 2	1	1	1	368	6.418807e-04	7.123311e-02
25	GNAT1	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	2	1	1	368	6.418807e-04	7.123311e-02
26	GPR132	G protein-coupled receptor 132	2	1	1	368	6.418807e-04	7.123311e-02
27	KLF15	Kruppel-like factor 15	2	1	1	368	6.418807e-04	7.123311e-02
28	KRTAP5-5	keratin associated protein 5-5	2	1	1	368	6.418807e-04	7.123311e-02
29	MOCS3	molybdenum cofactor synthesis 3	2	1	1	368	6.418807e-04	7.123311e-02
30	MTDH	metadherin	1	1	1	368	6.418807e-04	7.123311e-02
31	MTTP	microsomal triglyceride transfer protein	4	1	1	368	6.418807e-04	7.123311e-02
32	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	1	1	1	368	6.418807e-04	7.123311e-02
33	RNF25	ring finger protein 25	2	1	1	368	6.418807e-04	7.123311e-02
34	RTP1	receptor (chemosensory) transporter protein 1	2	1	1	368	6.418807e-04	7.123311e-02
35	SCYL1	SCY1-like 1 (S. cerevisiae)	2	1	1	368	6.418807e-04	7.123311e-02
36	SNRPA	small nuclear ribonucleoprotein polypeptide A	1	1	1	368	6.418807e-04	7.123311e-02
37	SNX8	sorting nexin 8	1	1	1	368	6.418807e-04	7.123311e-02
38	SP100	SP100 nuclear antigen	4	1	1	368	6.418807e-04	7.123311e-02
