Cancers	cases_rppa.txt	cases_methylation.txt	cases_CGH.txt	cases_log2CNA.txt	cases_RNA_Seq_mRNA.txt	cases_mRNA.txt	cases_sequenced.txt	cases_complete.txt	cases_normal_mRNA.txt	cases_miRNA.txt	cases_all.txt
blca_tcga			35	35							35
brca_tcga	410	314	783	783	449	530	507	320	0	302	813
cesc_tcga			36	36							36
coadread_tcga	463	236	564	564	81	224	224	65	0	85	589
gbm_tcga	215	288	538	538		500	372	319	0	426	585
hnsc_tcga			165	165	5						165
kirc_tcga	454	219	489	489	136	72	327	96	0	171	501
kirp_tcga			43	43	14	16			0		43
laml_tcga							199				199
lgg_tcga			80	80		27			0		80
lihc_tcga			53	53	17						53
luad_tcga		128	205	205		33	120	31	0		269
lusc_tcga		133	179	211	59	155	183	59	0	137	212
ov_tcga	412	521	518	518		538	456	433	0	518	568
paad_tcga			14	14							14
prad_tcga			82	82							82
stad_tcga			149	149							149
thca_tcga			85	85							85
ucec_tcga	200	117	363	363	266	54	239	212	0		373
