rank	gene	description	n	cos	n_cos	N_cos	p	q
1	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	6	53	5	7155	0	0
2	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	4	33	4	4455	5.961232e-12	1.356180e-08
3	TP53	tumor protein p53	7	969	7	130815	1.753109e-11	2.658882e-08
4	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	2	3	2	405	4.996105e-08	5.683070e-05
5	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	2	42	2	5670	9.787994e-06	8.907074e-03
6	OR5AP2	olfactory receptor, family 5, subfamily AP, member 2	1	1	1	135	1.055041e-04	6.857766e-02
7	TNN	tenascin N	1	1	1	135	1.055041e-04	6.857766e-02
8	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	2	180	2	24300	1.780686e-04	1.012765e-01
9	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3	201	2	27135	2.217154e-04	1.120894e-01
10	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	1	6	1	810	6.328576e-04	2.879502e-01
11	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	1	29	1	3915	3.055104e-03	1
12	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	1	46	1	6210	4.841685e-03	1
13	KDM6A		2	52	1	7020	5.471478e-03	1
14	FLT3	fms-related tyrosine kinase 3	1	117	1	15795	1.226875e-02	1
15	WT1	Wilms tumor 1	1	185	1	24975	1.933002e-02	1
16	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1	342	1	46170	3.544102e-02	1
17	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	1	418	1	56430	4.314464e-02	1
18	APC	adenomatous polyposis coli	3	842	0	113670	1	1
19	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	0	736	0	99360	1	1
20	NF2	neurofibromin 2 (merlin)	0	546	0	73710	1	1
21	VHL	von Hippel-Lindau tumor suppressor	0	545	0	73575	1	1
22	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	1	289	0	39015	1	1
23	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	0	283	0	38205	1	1
24	RB1	retinoblastoma 1 (including osteosarcoma)	0	271	0	36585	1	1
25	PTCH1	patched homolog 1 (Drosophila)	0	263	0	35505	1	1
26	ATM	ataxia telangiectasia mutated	2	247	0	33345	1	1
27	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	0	235	0	31725	1	1
28	MEN1	multiple endocrine neoplasia I	0	208	0	28080	1	1
